observation_date,LAPOP
2000-01-01,4471.885
2001-01-01,4477.875
2002-01-01,4497.267
2003-01-01,4521.042
2004-01-01,4552.238
2005-01-01,4576.628
2006-01-01,4302.665
2007-01-01,4375.581
2008-01-01,4435.586
2009-01-01,4491.648
2010-01-01,4544.635
2011-01-01,4576.244
2012-01-01,4602.067
