observation_date,WIPOP
2000-01-01,5373.999
2001-01-01,5406.835
2002-01-01,5445.162
2003-01-01,5479.203
2004-01-01,5514.026
2005-01-01,5546.166
2006-01-01,5577.655
2007-01-01,5610.775
2008-01-01,5640.996
2009-01-01,5669.264
2010-01-01,5690.538
2011-01-01,5705.840
2012-01-01,5720.825
