observation_date,OKPOP
2000-01-01,3454.365
2001-01-01,3467.100
2002-01-01,3489.080
2003-01-01,3504.892
2004-01-01,3525.233
2005-01-01,3548.597
2006-01-01,3594.090
2007-01-01,3634.349
2008-01-01,3668.976
2009-01-01,3717.572
2010-01-01,3760.014
2011-01-01,3788.824
2012-01-01,3819.320
