observation_date,COPOP
2000-01-01,4326.921
2001-01-01,4425.687
2002-01-01,4490.406
2003-01-01,4528.732
2004-01-01,4575.013
2005-01-01,4631.888
2006-01-01,4720.423
2007-01-01,4803.868
2008-01-01,4889.730
2009-01-01,4972.195
2010-01-01,5047.539
2011-01-01,5121.900
2012-01-01,5193.660
