observation_date,UTPOP
2000-01-01,2244.502
2001-01-01,2283.715
2002-01-01,2324.815
2003-01-01,2360.137
2004-01-01,2401.580
2005-01-01,2457.719
2006-01-01,2525.507
2007-01-01,2597.746
2008-01-01,2663.029
2009-01-01,2723.421
2010-01-01,2775.413
2011-01-01,2814.797
2012-01-01,2854.146
