observation_date,ARPOP
2000-01-01,2678.588
2001-01-01,2691.571
2002-01-01,2705.927
2003-01-01,2724.816
2004-01-01,2749.686
2005-01-01,2781.097
2006-01-01,2821.761
2007-01-01,2848.650
2008-01-01,2874.554
2009-01-01,2896.843
2010-01-01,2921.998
2011-01-01,2941.038
2012-01-01,2952.876
