observation_date,CAPCPI
2000-01-01,33175
2001-01-01,33915
2002-01-01,34047
2003-01-01,35191
2004-01-01,36969
2005-01-01,38737
2006-01-01,41454
2007-01-01,43070
2008-01-01,43391
2009-01-01,41660
2010-01-01,43137
2011-01-01,45508
2012-01-01,47793
