observation_date,AZPCPI
2000-01-01,26271
2001-01-01,26946
2002-01-01,27325
2003-01-01,28384
2004-01-01,30154
2005-01-01,32150
2006-01-01,34460
2007-01-01,35602
2008-01-01,35586
2009-01-01,33467
2010-01-01,33778
2011-01-01,35263
2012-01-01,36364
