observation_date,GAPOP
2000-01-01,8227.303
2001-01-01,8377.038
2002-01-01,8508.256
2003-01-01,8622.793
2004-01-01,8769.252
2005-01-01,8925.922
2006-01-01,9155.813
2007-01-01,9349.988
2008-01-01,9504.843
2009-01-01,9620.846
2010-01-01,9712.209
2011-01-01,9803.630
2012-01-01,9903.580
