observation_date,MDPOP
2000-01-01,5311.034
2001-01-01,5374.691
2002-01-01,5440.389
2003-01-01,5496.269
2004-01-01,5546.935
2005-01-01,5592.379
2006-01-01,5627.367
2007-01-01,5653.408
2008-01-01,5684.965
2009-01-01,5730.388
2010-01-01,5788.784
2011-01-01,5840.241
2012-01-01,5888.375
