observation_date,MOPOP
2000-01-01,5607.285
2001-01-01,5641.142
2002-01-01,5674.825
2003-01-01,5709.403
2004-01-01,5747.741
2005-01-01,5790.300
2006-01-01,5842.704
2007-01-01,5887.612
2008-01-01,5923.916
2009-01-01,5961.088
2010-01-01,5996.089
2011-01-01,6011.182
2012-01-01,6026.027
