observation_date,MEPOP
2000-01-01,1277.072
2001-01-01,1285.692
2002-01-01,1295.960
2003-01-01,1306.513
2004-01-01,1313.688
2005-01-01,1318.787
2006-01-01,1323.619
2007-01-01,1327.040
2008-01-01,1330.509
2009-01-01,1329.590
2010-01-01,1327.651
2011-01-01,1328.473
2012-01-01,1328.094
