observation_date,HIPCPI
2000-01-01,29174
2001-01-01,30178
2002-01-01,31353
2003-01-01,32557
2004-01-01,34336
2005-01-01,36278
2006-01-01,38315
2007-01-01,40301
2008-01-01,41887
2009-01-01,41144
2010-01-01,41498
2011-01-01,42758
2012-01-01,43523
