observation_date,ALPOP
2000-01-01,4452.173
2001-01-01,4467.634
2002-01-01,4480.089
2003-01-01,4503.491
2004-01-01,4530.729
2005-01-01,4569.805
2006-01-01,4628.981
2007-01-01,4672.840
2008-01-01,4718.206
2009-01-01,4757.938
2010-01-01,4785.514
2011-01-01,4799.642
2012-01-01,4816.632
