observation_date,WVPOP
2000-01-01,1807.021
2001-01-01,1801.481
2002-01-01,1805.414
2003-01-01,1812.295
2004-01-01,1816.438
2005-01-01,1820.492
2006-01-01,1827.912
2007-01-01,1834.052
2008-01-01,1840.310
2009-01-01,1847.775
2010-01-01,1854.265
2011-01-01,1856.606
2012-01-01,1857.446
