observation_date,ORPOP
2000-01-01,3429.708
2001-01-01,3467.937
2002-01-01,3513.424
2003-01-01,3547.376
2004-01-01,3569.463
2005-01-01,3613.202
2006-01-01,3670.883
2007-01-01,3722.417
2008-01-01,3768.748
2009-01-01,3808.600
2010-01-01,3837.614
2011-01-01,3872.672
2012-01-01,3900.102
