observation_date,ILPOP
2000-01-01,12434.161
2001-01-01,12488.445
2002-01-01,12525.556
2003-01-01,12556.006
2004-01-01,12589.773
2005-01-01,12609.903
2006-01-01,12643.955
2007-01-01,12695.866
2008-01-01,12747.038
2009-01-01,12796.778
2010-01-01,12840.545
2011-01-01,12867.783
2012-01-01,12883.029
