observation_date,NYPOP
2000-01-01,19001.780
2001-01-01,19082.838
2002-01-01,19137.800
2003-01-01,19175.939
2004-01-01,19171.567
2005-01-01,19132.610
2006-01-01,19104.631
2007-01-01,19132.335
2008-01-01,19212.436
2009-01-01,19307.066
2010-01-01,19399.956
2011-01-01,19499.921
2012-01-01,19574.362
