observation_date,HIPOP
2000-01-01,1213.519
2001-01-01,1225.948
2002-01-01,1239.613
2003-01-01,1251.154
2004-01-01,1273.569
2005-01-01,1292.729
2006-01-01,1309.731
2007-01-01,1315.675
2008-01-01,1332.213
2009-01-01,1346.717
2010-01-01,1364.004
2011-01-01,1379.562
2012-01-01,1395.199
