observation_date,AZPOP
2000-01-01,5160.586
2001-01-01,5273.477
2002-01-01,5396.255
2003-01-01,5510.364
2004-01-01,5652.404
2005-01-01,5839.077
2006-01-01,6029.141
2007-01-01,6167.681
2008-01-01,6280.362
2009-01-01,6343.154
2010-01-01,6407.342
2011-01-01,6473.416
2012-01-01,6556.344
