observation_date,AKPCPI
2000-01-01,31996
2001-01-01,33591
2002-01-01,34766
2003-01-01,36045
2004-01-01,37054
2005-01-01,39013
2006-01-01,41013
2007-01-01,43747
2008-01-01,47800
2009-01-01,47211
2010-01-01,49543
2011-01-01,52415
2012-01-01,53340
