observation_date,NHPOP
2000-01-01,1239.882
2001-01-01,1255.517
2002-01-01,1269.089
2003-01-01,1279.840
2004-01-01,1290.121
2005-01-01,1298.492
2006-01-01,1308.389
2007-01-01,1312.540
2008-01-01,1315.906
2009-01-01,1316.102
2010-01-01,1316.807
2011-01-01,1320.444
2012-01-01,1324.677
