observation_date,MSPOP
2000-01-01,2848.353
2001-01-01,2852.994
2002-01-01,2858.681
2003-01-01,2868.312
2004-01-01,2889.010
2005-01-01,2905.943
2006-01-01,2904.978
2007-01-01,2928.350
2008-01-01,2947.806
2009-01-01,2958.774
2010-01-01,2970.615
2011-01-01,2979.147
2012-01-01,2984.599
