observation_date,MIPOP
2000-01-01,9952.450
2001-01-01,9991.120
2002-01-01,10015.710
2003-01-01,10041.152
2004-01-01,10055.315
2005-01-01,10051.137
2006-01-01,10036.081
2007-01-01,10001.284
2008-01-01,9946.889
2009-01-01,9901.591
2010-01-01,9877.597
2011-01-01,9883.053
2012-01-01,9898.289
