observation_date,RIPOP
2000-01-01,1050.268
2001-01-01,1057.142
2002-01-01,1065.995
2003-01-01,1071.342
2004-01-01,1074.579
2005-01-01,1067.916
2006-01-01,1063.096
2007-01-01,1057.315
2008-01-01,1055.003
2009-01-01,1053.646
2010-01-01,1053.994
2011-01-01,1053.829
2012-01-01,1054.893
