observation_date,NEPOP
2000-01-01,1713.820
2001-01-01,1719.836
2002-01-01,1728.292
2003-01-01,1738.643
2004-01-01,1749.370
2005-01-01,1761.497
2006-01-01,1772.693
2007-01-01,1783.440
2008-01-01,1796.378
2009-01-01,1812.683
2010-01-01,1829.591
2011-01-01,1840.914
2012-01-01,1853.691
