observation_date,CTPOP
2000-01-01,3411.777
2001-01-01,3432.835
2002-01-01,3458.749
2003-01-01,3484.336
2004-01-01,3496.094
2005-01-01,3506.956
2006-01-01,3517.460
2007-01-01,3527.270
2008-01-01,3545.579
2009-01-01,3561.807
2010-01-01,3579.173
2011-01-01,3588.632
2012-01-01,3595.211
