observation_date,VAPOP
2000-01-01,7105.817
2001-01-01,7198.362
2002-01-01,7286.873
2003-01-01,7366.977
2004-01-01,7475.575
2005-01-01,7577.105
2006-01-01,7673.725
2007-01-01,7751.000
2008-01-01,7833.496
2009-01-01,7925.937
2010-01-01,8024.004
2011-01-01,8102.437
2012-01-01,8187.456
