observation_date,IAPOP
2000-01-01,2929.067
2001-01-01,2931.997
2002-01-01,2934.234
2003-01-01,2941.999
2004-01-01,2953.635
2005-01-01,2964.454
2006-01-01,2982.644
2007-01-01,2999.212
2008-01-01,3016.734
2009-01-01,3032.870
2010-01-01,3050.819
2011-01-01,3066.772
2012-01-01,3076.844
