observation_date,TNPOP
2000-01-01,5703.719
2001-01-01,5750.789
2002-01-01,5795.918
2003-01-01,5847.812
2004-01-01,5910.809
2005-01-01,5991.057
2006-01-01,6088.766
2007-01-01,6175.727
2008-01-01,6247.411
2009-01-01,6306.019
2010-01-01,6355.518
2011-01-01,6400.298
2012-01-01,6455.752
