observation_date,NJPOP
2000-01-01,8430.621
2001-01-01,8492.671
2002-01-01,8552.643
2003-01-01,8601.402
2004-01-01,8634.561
2005-01-01,8651.974
2006-01-01,8661.679
2007-01-01,8677.885
2008-01-01,8711.090
2009-01-01,8755.602
2010-01-01,8799.451
2011-01-01,8828.552
2012-01-01,8845.671
