observation_date,MAPOP
2000-01-01,6361.104
2001-01-01,6397.634
2002-01-01,6417.206
2003-01-01,6422.565
2004-01-01,6412.281
2005-01-01,6403.290
2006-01-01,6410.084
2007-01-01,6431.559
2008-01-01,6468.967
2009-01-01,6517.613
2010-01-01,6566.440
2011-01-01,6614.218
2012-01-01,6664.269
