observation_date,NMPOP
2000-01-01,1821.204
2001-01-01,1831.690
2002-01-01,1855.309
2003-01-01,1877.574
2004-01-01,1903.808
2005-01-01,1932.274
2006-01-01,1962.137
2007-01-01,1990.070
2008-01-01,2010.662
2009-01-01,2036.802
2010-01-01,2064.614
2011-01-01,2080.707
2012-01-01,2087.715
