observation_date,ALPCPI
2000-01-01,24258
2001-01-01,25046
2002-01-01,25671
2003-01-01,26700
2004-01-01,28385
2005-01-01,29780
2006-01-01,31264
2007-01-01,32516
2008-01-01,33441
2009-01-01,32717
2010-01-01,33848
2011-01-01,34884
2012-01-01,35559
