observation_date,KSPOP
2000-01-01,2693.681
2001-01-01,2702.162
2002-01-01,2713.535
2003-01-01,2723.004
2004-01-01,2734.373
2005-01-01,2745.299
2006-01-01,2762.931
2007-01-01,2783.785
2008-01-01,2808.076
2009-01-01,2832.704
2010-01-01,2858.266
2011-01-01,2869.677
2012-01-01,2886.024
