observation_date,ARPCPI
2000-01-01,22731
2001-01-01,23841
2002-01-01,24280
2003-01-01,25564
2004-01-01,27024
2005-01-01,28043
2006-01-01,29376
2007-01-01,31036
2008-01-01,32157
2009-01-01,31411
2010-01-01,32218
2011-01-01,34181
2012-01-01,36289
