observation_date,KYPOP
2000-01-01,4049.021
2001-01-01,4068.132
2002-01-01,4089.875
2003-01-01,4117.170
2004-01-01,4146.101
2005-01-01,4182.742
2006-01-01,4219.239
2007-01-01,4256.672
2008-01-01,4289.878
2009-01-01,4317.074
2010-01-01,4348.464
2011-01-01,4370.817
2012-01-01,4387.865
