observation_date,MNPOP
2000-01-01,4933.692
2001-01-01,4982.796
2002-01-01,5018.935
2003-01-01,5053.572
2004-01-01,5087.713
2005-01-01,5119.598
2006-01-01,5163.555
2007-01-01,5207.203
2008-01-01,5247.018
2009-01-01,5281.203
2010-01-01,5310.934
2011-01-01,5346.620
2012-01-01,5377.500
