observation_date,INPOP
2000-01-01,6091.866
2001-01-01,6127.760
2002-01-01,6155.967
2003-01-01,6196.638
2004-01-01,6233.007
2005-01-01,6278.616
2006-01-01,6332.669
2007-01-01,6379.599
2008-01-01,6424.806
2009-01-01,6459.325
2010-01-01,6490.555
2011-01-01,6517.250
2012-01-01,6538.989
